tweet_id,tweet_text
311912542970732544,"AmazonBasics Netbook Bag with Handle, Fits 7- to 10-Inch Netbooks, iPad, HP Touchpad (Black) | Apple Ipad http://t.co/CbJL5N4F9S"
311912576009244672,Play Memory Magic and you could #win a Apple iPad Mini Tablet @bidacuda #st http://t.co/mABNx5M141
311912576114118656,RT @MediaPost: Samsung Buries Apple In Advertising http://t.co/q2pkukAAVa
311912620699553792,"CEO Spotify Says He Doesn't Worry What Apple, Google Do In Music http://t.co/pvJjwe2pVf"
311912622633132032,IDC: Android Tablets Will Pass Apple’s iPad in 2013: 2013 will be the year that shipments of Android tablets s... http://t.co/Z1Wf4NR2ox
311912630417776640,Apple iPhone 5 Case  Ballistic Shell Gel SG Series Case: http://t.co/vaMrNT8SiY #ebaymobile
311912641104838656,Tim cook is GAY? Well I hope he can keep apple in the straight direction...eh eh get it....gay straight....eh eh :D
311912651187970048,I wish my laptop wasn't so remedial and i wasnt too lazy to take it to the apple store so I could write this paper at the park or some shit.
311912656988692480,@DanGraziano I am hoping that Apple has a “deflate your news day” announcement
311912664110624769,"Apple wants you to pay an arm and a leg for their products up front, then send in the next arm and leg to repair. Fck them!"
311912667709317120,@BadAsh81 Shades of Apple and Federighi.
311912670364319745,RT @frankieboyle: Apple have a hundred scientists just working on how to shorten the battery life of the next iPhone
311912704665329664,RT @PhilipMichaels: The Papal Conclave would never have done it that way if Steve Jobs were still running Apple.
311912708553457664,"Revenue per employee: Yahoo!: $426,000. Microsoft: $775,900. Google: $931,600. Facebook: $1,102,000. Apple:... http://t.co/BrQRWjZdJj"
311912726056271872,I love Apple Stickers! http://t.co/lMf73Xdnay
311912738521763841,@AlyshaCooper97 just another 4s me mam and dad went to the metro and took the old one into the apple shop to get a new one hehe
311912739654230016,Welp apple ill see you on Saturday to pay that smooth 50 😒
311912763196854273,"The Pope currently trying to tap out first tweet, repeatedly foiled by Apple auto-correct."
311912772252348416,"RT @windowsphone: ""According to our survey respondents, Microsoft's Windows Phone 8 clearly bests Apple and Android."" - @PCMag http://t. ..."
311912789579018240,Vatican City in Apple maps 3D is excellent.
311912809762009088,"RT @TheFix: The Pope currently trying to tap out first tweet, repeatedly foiled by Apple auto-correct."
311912811347464192,@down_asschick9 just carry your old orginal iPhone charger to apple nd they gon change it for free
311912816279949313,"RT @TheFix: The Pope currently trying to tap out first tweet, repeatedly foiled by Apple auto-correct."
311912817596960768,"Apple Bubbles (App) newly tagged ""games"":               Apple Bubbles (App)By pconline games        Buy new: $... http://t.co/RQvX3TLSPg"
