tweet_id,tweet_text
311912555671060480,"RT @Jowanker: Calling all time low emo is like calling an apple, an orange."
311912561962520577,a snack to my friends is an apple but a snack to me is 2 whole pizzas a bag of chips 3 popsicles some lasagna 12 cookies a lobster &amp; a cake
311912567335436289,"@HollandsPies Apple, with the custard already inside #yum"
311912583714197504,* hell NAWE ' i put apple bottom jeans on &amp;' told my bestfriend she remember wearing that &amp;'d she bust out singing it [ KMSL ] ONLY her !
311912588172730368,One bad apple spoils the bunch. - German Proverb
311912589447798784,Flan with Nutella in the oven for Ellie's Birthday tomorrow. Apple crumble next.
311912591213592577,@MaestroMasadeJr ah ah..really???!!! You and this apple..smh
311912599140855808,Bruh I'm watching this movie and this dude got balls for his Adams apple 😂😂😭😭😭😭 http://t.co/xIuT9jskQ4
311912601229611009,RT @Hadzilla: What if god was one of us just a guy eating apple jacks with tostitos scoops because he doesn't have any clean spoons like ...
311912614013853697,"you're the apple to my pie, you're the straw to my berry. you're the smoke to my high, and you're the one I wanna marry &lt;3"
311912626508673027,"calling people fruit and berry names were very popular.. i knew apple, cucumber, tomato, pepper and others.lool so lame"
311912626584186880,"RT @Realnegawassup: God bless the ""apple"" game!"
311912628693897216,Ingredients tomorrow son. I have apple's flour and cinnamon.. you bring rest. Peace.
311912631948681218,&amp; this lady is trynna force me to put it on my banana &amp; apple
311912648457482240,"I found this using 'Uplifting Psalms Daily' for Android phones!  ""Keep me as the apple of your eye"":  6 I call... http://t.co/lrKfE75ylk"
311912648725893121,@DaveTheBeard oh apple pie of the £1 variety sounds delightful
311912650252644352,"RT @L1ghtninMcQueen: People gas the shit outta pretty girl's . "" just ate an apple "" *50 retweets*"
311912673568776193,@Rygocv42 oops apple smeared all over that answer lets just assume I was right
311912692581560320,Apple and cheese grilled sandwich http://t.co/ANnH3dlSK1
311912703709032448,Only @squeakersld would hold her cookie with a fork &amp;dip it in GREEN apple sauce^_^ lmao #Problems :D
311912713532088321,Homemade apple crumble. http://t.co/BxGwT2NZWH
311912718527512577,“@Taa_rynn: George Bush who cut down the apple tree? #Wut” 😂😂
311912718556864512,Perverts. I spilled my apple juice on myself.
311912727947923456,Pork chops and apple sauce is way to good
311912750387429376,@MacBarbie07 just bought Essie mint Candy Apple nail polish and i'm obsessed with the color :) thanks to you 😘 love ya
311912755739361281,"Apple strudel rice pudding, yes pleeeeease"
311912758234976256,"@LunlunnGORGEOUS cause girl! You play ssooooo much, with yo Apple Head Ass. BBHBBHBBHBBH (:"
311912768309698560,@Skittles changed the green Skittle from lime to green apple. WTF were they thinking?!!
311912768804646912,Sometimes I eat an apple and think damn that was crisp
311912770515922944,"Dnt know if I want Red Lobster, Pluckers, or  Apple bee's..."
311912804212957185,RT @JESS_ticles: a snack to my friends is an apple but a snack to me is 2 whole pizzas a bag of chips 3 popsicles some lasagna 12 cookie ...
311912814908416000,@FairuzRusli green tea or apple vinegar? Coz I use both..
311912820096778241,"Lmao. Oh, dameon.“@L1ghtninMcQueen: People gas the shit outta pretty girl's . "" just ate an apple "" *50 retweets*”"
311912827952713728,I haven't had an apple or apple products in about 24 years maybe more. I remember the taste and the texture quite vividly though.
311912898689638401,"""You look like like the kinda girl who likes apple pie"" thanks @EllieDeacon 😑 now I want to top myself"
